# m3_primary_edge_ledger -- M3 PRIMARY CollecTRI signed-edge ledger v2 (SEAL CANDIDATE, TASK-028 Freeze B)
# AMENDMENT v2 per Vladimir DEC-M3-DUAL-EDGE. Supersedes v1 (which split ALL unresolved edges).
# ONE ROW PER ADMITTED PRIMARY EDGE (source-ledger order preserved).
#
# PRIMARY POLICY:
#   consensus_sign = +1 if consensus_stimulation and not consensus_inhibition;
#                    -1 if consensus_inhibition  and not consensus_stimulation;
#                    unresolved otherwise (neither, or both consensus flags set).
#   An edge with a RESOLVED consensus sign PARTICIPATES ONCE in primary signed scoring with
#   that sign -- this INCLUDES both-flagged edges that resolved to a single consensus sign.
#   Edges with an UNRESOLVED consensus sign are EXCLUDED from primary signed scoring; they are
#   NOT split into activation+repression and are NOT assigned an arbitrary sign.
#   primary_inclusion=Y iff resolved; primary_sign=consensus sign if included, blank if excluded.
#   exclusion_reason: 'none' if included; else the TRUE reason
#     ('unresolved-both-flagged' or 'unresolved-single-flag-no-consensus').
#
# WEIGHTING RULE:
#   VIPER/aREA mode-of-regulation (MoR) = consensus sign (+1 activation, -1 repression).
#   weight = CollecTRI CONSENSUS confidence = 1.0 when the primary sign is a consensus call
#   (consensus_stimulation for +1, consensus_inhibition for -1); 0.5 for a non-consensus curated
#   call. weight blank for excluded (primary_inclusion=N) edges. evidence_class = CollecTRI-curated.
#
# PRE-FROZEN SENSITIVITY SETS (membership recorded here; NOTHING is scored in this ledger):
#   S1 flag-split (s1_representation): every both-flagged edge (all 79) = TWO contributions
#     (activation +1 and repression -1), each with its own consensus-confidence weight ->
#     s1_representation='split-dual'. Non-both-flagged consensus edges enter once -> 'single'.
#   S2 conservative exclusion (s2_inclusion): ALL both-flagged edges EXCLUDED (s2_inclusion=N);
#     only single-flag consensus edges remain (s2_inclusion=Y).
#
# both_flagged = stimulation_flag AND inhibition_flag (raw CollecTRI is_stimulation/is_inhibition).
# consensus_resolved = both_flagged AND consensus_sign in {+1,-1}.
# Columns: TF	target	ensembl_id	stimulation_flag	inhibition_flag	consensus_sign	both_flagged	consensus_resolved	primary_inclusion	primary_sign	exclusion_reason	s1_representation	s2_inclusion	evidence_class	weight
TF	target	ensembl_id	stimulation_flag	inhibition_flag	consensus_sign	both_flagged	consensus_resolved	primary_inclusion	primary_sign	exclusion_reason	s1_representation	s2_inclusion	evidence_class	weight
SOX17	HSPB2	ENSG00000170276	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	ADRA1D	ENSG00000171873	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	LAMA1	ENSG00000101680	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	IBSP	ENSG00000029559	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	DMRT1	ENSG00000137090	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	TBATA	ENSG00000166220	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	MBP	ENSG00000197971	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	SCGB1A1	ENSG00000149021	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	ZNF202	ENSG00000166261	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	NES	ENSG00000132688	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	CDKN2B	ENSG00000147883	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
SOX17	POU5F1	ENSG00000204531	Y	N	unresolved	N	N	N		unresolved-single-flag-no-consensus	single	Y	CollecTRI-curated	
SOX17	CXCR4	ENSG00000121966	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	STS	ENSG00000101846	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	LEF1	ENSG00000138795	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
SOX17	CYP17A1	ENSG00000148795	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	ROBO4	ENSG00000154133	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	COMP	ENSG00000105664	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	KDR	ENSG00000128052	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	MATN1	ENSG00000162510	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	MACC1	ENSG00000183742	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
SOX17	FGF4	ENSG00000075388	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	HNF4A	ENSG00000101076	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	COL2A1	ENSG00000139219	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	ACAN	ENSG00000157766	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	TUBB3	ENSG00000258947	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	AXIN2	ENSG00000168646	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA10	CYBB	ENSG00000165168	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA10	IGFBP1	ENSG00000146678	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	GLB1	ENSG00000170266	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	ESR1	ENSG00000091831	Y	Y	unresolved	Y	N	N		unresolved-both-flagged	split-dual	N	CollecTRI-curated	
HOXA10	HOXA9	ENSG00000078399	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	MYLK	ENSG00000065534	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	NCF2	ENSG00000116701	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA10	CDH1	ENSG00000039068	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	EPCAM	ENSG00000119888	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	IBSP	ENSG00000029559	Y	Y	unresolved	Y	N	N		unresolved-both-flagged	split-dual	N	CollecTRI-curated	
HOXA10	DUSP4	ENSG00000120875	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	STXBP1	ENSG00000136854	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	KAT2B	ENSG00000114166	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
HOXA10	KLF9	ENSG00000119138	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA10	CBX2	ENSG00000173894	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	CDX4	ENSG00000131264	Y	N	unresolved	N	N	N		unresolved-single-flag-no-consensus	single	Y	CollecTRI-curated	
HOXA10	SP7	ENSG00000170374	Y	Y	unresolved	Y	N	N		unresolved-both-flagged	split-dual	N	CollecTRI-curated	
HOXA10	SPAST	ENSG00000021574	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	EMX2	ENSG00000170370	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
HOXA10	GHRHR	ENSG00000106128	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	FGF2	ENSG00000138685	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	HOXB4	ENSG00000182742	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	PRDM16	ENSG00000142611	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	BHLHE22	ENSG00000180828	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	IL11	ENSG00000095752	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA10	IL15	ENSG00000164136	Y	Y	1	Y	Y	Y	1	none	split-dual	N	CollecTRI-curated	1.0
HOXA10	ITGB3	ENSG00000259207	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	LYL1	ENSG00000104903	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	MYCN	ENSG00000134323	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
HOXA10	SNAI1	ENSG00000124216	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA10	WT1	ENSG00000184937	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
HOXA10	MEF2C	ENSG00000081189	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA10	PTGER4	ENSG00000171522	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	PTGER3	ENSG00000050628	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA10	PRL	ENSG00000172179	Y	Y	1	Y	Y	Y	1	none	split-dual	N	CollecTRI-curated	1.0
HOXA10	CAPN5	ENSG00000149260	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA11	EGFR	ENSG00000146648	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA11	ASXL3	ENSG00000141431	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA11	HOXA10	ENSG00000253293	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA11	PRL	ENSG00000172179	Y	Y	1	Y	Y	Y	1	none	split-dual	N	CollecTRI-curated	1.0
HOXA11	MYOD1	ENSG00000129152	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA9	SPP1	ENSG00000118785	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA9	CYBB	ENSG00000165168	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	HOXA10	ENSG00000253293	Y	Y	unresolved	Y	N	N		unresolved-both-flagged	split-dual	N	CollecTRI-curated	
HOXA9	KDR	ENSG00000128052	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	FLT3	ENSG00000122025	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	SELE	ENSG00000007908	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	DACH1	ENSG00000276644	Y	N	unresolved	N	N	N		unresolved-single-flag-no-consensus	single	Y	CollecTRI-curated	
HOXA9	CD34	ENSG00000174059	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	SHOX	ENSG00000185960	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	FGF2	ENSG00000138685	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	HOXB4	ENSG00000182742	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	PRDM16	ENSG00000142611	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	NFKB1	ENSG00000109320	N	Y	unresolved	N	N	N		unresolved-single-flag-no-consensus	single	Y	CollecTRI-curated	
HOXA9	ARHGEF1	ENSG00000076928	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	CDH3	ENSG00000062038	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	MYCN	ENSG00000134323	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	VCAM1	ENSG00000162692	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	IGF1	ENSG00000017427	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	MEF2C	ENSG00000081189	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA9	MSI2	ENSG00000153944	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	MYB	ENSG00000118513	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA9	PKNOX1	ENSG00000160199	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA13	BMP4	ENSG00000125378	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA13	EPHA7	ENSG00000135333	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA13	SOSTDC1	ENSG00000171243	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA13	EPHA6	ENSG00000080224	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA13	FOXF1	ENSG00000103241	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA13	TEK	ENSG00000120156	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA13	ALDH1A2	ENSG00000128918	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA13	SALL3	ENSG00000256463	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA13	EPHA3	ENSG00000044524	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
HOXA13	BMP7	ENSG00000101144	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA13	FGF8	ENSG00000107831	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
HOXA13	SALL1	ENSG00000103449	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA13	EPHA4	ENSG00000116106	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
HOXA13	HOXA11	ENSG00000005073	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
WT1	NR0B1	ENSG00000169297	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	THBS1	ENSG00000137801	Y	Y	1	Y	Y	Y	1	none	split-dual	N	CollecTRI-curated	1.0
WT1	ABCB1	ENSG00000085563	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
WT1	MYCN	ENSG00000134323	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
WT1	AREG	ENSG00000109321	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	TERT	ENSG00000164362	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
WT1	AMH	ENSG00000104899	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	CDH1	ENSG00000039068	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
WT1	VDR	ENSG00000111424	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	EGFR	ENSG00000146648	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
WT1	INSR	ENSG00000171105	Y	Y	1	Y	Y	Y	1	none	split-dual	N	CollecTRI-curated	1.0
WT1	SRY	ENSG00000184895	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	AR	ENSG00000169083	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
WT1	PODXL	ENSG00000128567	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	CYP19A1	ENSG00000137869	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
WT1	CYP2B6	ENSG00000197408	Y	Y	unresolved	Y	N	N		unresolved-both-flagged	split-dual	N	CollecTRI-curated	
WT1	POU4F2	ENSG00000151615	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	IL1B	ENSG00000125538	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	SLC6A6	ENSG00000131389	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	GRP	ENSG00000134443	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	NOS2	ENSG00000007171	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	PDGFA	ENSG00000197461	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
WT1	NPHS1	ENSG00000161270	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	NUP210	ENSG00000132182	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	MYB	ENSG00000118513	N	Y	unresolved	N	N	N		unresolved-single-flag-no-consensus	single	Y	CollecTRI-curated	
WT1	SLC5A5	ENSG00000105641	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	ESR1	ENSG00000091831	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	BAK1	ENSG00000030110	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
WT1	NTRK2	ENSG00000148053	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	EPO	ENSG00000130427	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	CSF3	ENSG00000108342	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	BCL2L1	ENSG00000171552	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	GC	ENSG00000145321	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	AMHR2	ENSG00000135409	Y	Y	unresolved	Y	N	N		unresolved-both-flagged	split-dual	N	CollecTRI-curated	
WT1	MMP9	ENSG00000100985	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
WT1	CD34	ENSG00000174059	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	ETS1	ENSG00000134954	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	EPOR	ENSG00000187266	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	KIT	ENSG00000157404	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	REN	ENSG00000143839	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
WT1	ABCC3	ENSG00000108846	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	ADAT2	ENSG00000189007	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	SLC29A4	ENSG00000164638	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	KLK3	ENSG00000142515	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	DUSP6	ENSG00000139318	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
WT1	CDKN2B	ENSG00000147883	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
